traj_idx,frame,x,y,z
0,0,2.1741022,56.8316213,0.0
0,1,1.3910399,56.981579,0.0
0,2,1.8468619,59.7273532,0.0
0,3,1.1197191,61.0051909,0.0
1,0,4.0616117,99.1835402,0.0
1,1,5.6723147,99.3599842,0.0
1,2,5.7385527,99.4537613,0.0
1,3,5.7564734,99.290323,0.0
1,4,5.9728346,99.874906,0.0
1,5,5.5464699,99.5394272,0.0
1,6,6.2866285,98.590423,0.0
1,7,5.9987012,98.487938,0.0
1,8,5.160132,99.1275772,0.0
1,9,5.7159828,99.4488473,0.0
1,10,6.0024729,98.8141473,0.0
1,11,6.0959871,98.2106326,0.0
1,12,5.9242402,97.1803196,0.0
1,13,5.1798511,97.0862342,0.0
1,14,5.9026328,97.1781882,0.0
1,15,6.8669837,98.0362563,0.0
1,16,6.1904816,97.8847716,0.0
1,17,4.902533,97.7646709,0.0
1,18,4.9687572,98.1745059,0.0
1,19,4.9382166,98.8748179,0.0
1,20,5.6291058,99.2814263,0.0
1,21,5.7824368,99.207839,0.0
1,22,5.2226673,99.5403472,0.0
1,23,5.1713845,99.412288,0.0
1,24,4.9876696,99.1580044,0.0
1,25,5.0536538,98.2794876,0.0
1,26,4.9125281,98.2687576,0.0
1,27,4.9161941,98.2345298,0.0
1,28,4.9105894,98.7907853,0.0
1,29,4.9385382,98.9747942,0.0
1,30,4.5662793,98.763151,0.0
1,31,4.0614725,98.9501695,0.0
1,32,3.7981846,99.0058365,0.0
1,33,4.1732789,99.3403392,0.0
1,34,3.8892124,99.0182095,0.0
1,35,3.9952455,98.8360611,0.0
2,7,15.2764196,50.9869223,0.0
2,8,15.083473,50.7932832,0.0
2,9,16.3986778,53.0290158,0.0
2,10,16.4522709,53.5570781,0.0
2,11,14.3904457,53.8955237,0.0
2,12,14.70385,54.3817091,0.0
2,13,14.2126052,54.7697165,0.0
2,14,13.142267,55.1732625,0.0
2,15,14.4451229,56.0650132,0.0
2,16,15.0855916,57.8066645,0.0
2,17,15.1081634,57.9065787,0.0
2,18,15.1525244,57.8584368,0.0
2,19,15.1252338,57.8422632,0.0
2,20,15.1638298,57.8661691,0.0
2,21,15.3148464,57.2872465,0.0
2,22,15.0577707,57.8127552,0.0
2,23,15.0412345,56.9473307,0.0
2,24,14.767636,57.9144128,0.0
2,25,13.8807902,57.0870866,0.0
2,26,13.9005966,57.1952275,0.0
2,27,14.7940581,57.1196499,0.0
2,28,13.9074768,57.1607881,0.0
2,29,14.4663392,57.0838505,0.0
2,30,14.7817737,58.1741473,0.0
2,31,14.7937855,57.9165225,0.0
2,32,14.53373,58.175452,0.0
2,33,13.8937629,59.0104198,0.0
2,34,13.9161681,58.8276005,0.0
2,35,13.8126809,58.2323346,0.0
2,36,13.790524,59.0098796,0.0
2,37,14.7333238,58.2546443,0.0
2,38,14.13851,58.9107379,0.0
2,39,14.7278244,58.9320611,0.0
2,40,14.0193232,58.783831,0.0
2,41,13.6557584,59.0623019,0.0
2,42,13.7337744,57.8596238,0.0
2,43,14.1496376,57.18588,0.0
2,44,13.0248945,57.9524888,0.0
2,45,12.3443718,57.803862,0.0
3,9,1.8917257,61.2569872,0.0
3,10,1.6839145,63.1800892,0.0
3,11,2.1832609,65.4733427,0.0
3,12,2.0866655,66.9596823,0.0
4,15,6.1627549,7.7090767,0.0
4,16,6.1103107,7.0652324,0.0
4,17,6.1849803,7.1353487,0.0
4,18,6.0522108,6.978789,0.0
4,19,6.7579086,6.9439699,0.0
4,20,7.0264707,6.3803873,0.0
4,21,6.2935977,6.6846743,0.0
4,22,6.1711159,7.2286237,0.0
4,24,10.1555904,12.8107405,0.0
4,25,10.1278817,13.0465905,0.0
5,15,6.9695704,28.9252636,0.0
5,16,4.7368498,30.7936021,0.0
5,19,2.8192336,33.8486197,0.0
5,21,5.1555414,33.0606754,0.0
5,22,6.7782671,35.0786604,0.0
5,23,5.7211914,33.1388575,0.0
5,24,6.1635213,36.1937004,0.0
5,25,5.7949462,40.8151265,0.0
5,26,9.5091375,41.6895075,0.0
5,27,8.5755654,41.7166376,0.0
5,28,9.0430577,42.8411155,0.0
5,29,8.4054916,40.396696,0.0
5,30,6.6496402,40.8116221,0.0
5,31,7.2146722,37.1645463,0.0
5,32,5.1960137,36.8985582,0.0
5,33,2.0226211,38.3213852,0.0
5,34,1.4021876,35.2039257,0.0
5,35,2.00661,29.9775764,0.0
7,25,0.795985,92.885673,0.0
7,27,0.5870318,92.7859576,0.0
9,30,0.5569961,51.0577489,0.0
9,31,0.0632241,49.8951858,0.0
9,32,0.9571448,51.8348656,0.0
9,33,1.4341959,53.1456522,0.0
10,34,9.0784985,63.5381435,0.0
10,35,6.5172415,64.0784296,0.0
10,36,2.6347057,69.3588588,0.0
11,40,15.7850911,26.8624338,0.0
11,41,17.0121568,26.9876461,0.0
11,42,17.3252095,25.1467435,0.0
12,41,1.892379,77.9347313,0.0
12,42,3.550979,80.1875168,0.0
12,43,3.056835,79.6522056,0.0
12,45,6.1380601,81.2248875,0.0
12,46,5.8183323,81.2099244,0.0
12,47,6.2756503,80.0927841,0.0
12,48,4.2224373,83.3646801,0.0
13,41,1.0069197,54.9982262,0.0
13,42,1.4764218,56.900675,0.0
13,43,1.2133944,58.1248242,0.0
13,44,0.8920259,57.9888363,0.0
13,45,0.9921065,59.1682654,0.0
13,46,1.0925004,58.4805326,0.0
13,47,1.7395432,58.9471554,0.0
13,48,2.8931166,63.8485146,0.0
13,49,2.4452874,63.1175293,0.0
13,50,2.5401403,64.1586439,0.0
