traj_idx,frame,x,y,z
0,0,100.3275968,123.0185438,0.0
0,2,99.1286159,122.7426713,0.0
1,0,75.8934582,88.2997218,0.0
1,1,76.171381,87.9930452,0.0
1,2,76.2171511,87.7866685,0.0
1,3,76.026159,87.8921943,0.0
1,4,75.6457526,87.8649509,0.0
1,5,75.7733239,88.0231446,0.0
1,6,75.6332782,87.7595632,0.0
1,7,75.6501731,87.7794796,0.0
1,8,75.5623634,87.7985536,0.0
1,9,75.6184231,88.1693323,0.0
1,10,75.1804614,87.9795889,0.0
1,11,75.1253941,87.9132498,0.0
1,12,75.7222618,87.8923258,0.0
1,13,75.4312223,87.9589222,0.0
1,14,75.3180836,87.8686673,0.0
1,15,75.1871291,87.9713618,0.0
1,16,75.1087313,87.9841966,0.0
1,17,75.0200797,87.8152823,0.0
1,18,75.1059982,88.0569266,0.0
1,19,75.2390533,87.9087016,0.0
1,20,75.2350661,87.8828265,0.0
1,21,74.8387369,87.959898,0.0
1,22,75.0135639,87.8763859,0.0
1,23,75.1429974,88.2102403,0.0
1,24,75.1441709,88.1991609,0.0
1,25,74.9865479,88.8056482,0.0
1,26,74.96294,88.9185596,0.0
1,27,75.2021933,88.6501208,0.0
1,28,74.9584087,88.6184176,0.0
1,29,75.0980362,88.1458391,0.0
1,30,75.4871185,88.2531946,0.0
1,31,75.3735184,88.4556904,0.0
1,32,75.7382845,88.2028022,0.0
1,33,75.9028819,88.5492458,0.0
1,34,76.1037351,88.706205,0.0
1,35,75.9521266,88.4809485,0.0
1,36,75.6746092,88.1252416,0.0
1,37,75.2683339,88.7312201,0.0
1,38,75.2779344,88.5553706,0.0
1,39,76.0194618,88.3705297,0.0
1,40,75.7214523,88.3447979,0.0
1,41,76.1669751,88.2773739,0.0
1,42,76.6384405,88.1847174,0.0
1,43,76.1974269,88.3167168,0.0
1,44,76.1396652,88.4638581,0.0
1,45,75.9702901,88.4703145,0.0
1,46,76.4383461,87.9527703,0.0
1,47,76.6428807,87.9574822,0.0
1,48,76.3014165,88.1938948,0.0
1,49,75.9188104,88.0288196,0.0
1,50,76.0881209,88.3979834,0.0
1,51,75.6711394,88.9549075,0.0
1,52,75.6614552,88.8217804,0.0
1,53,74.9253704,89.2529916,0.0
1,54,75.8623395,88.9444925,0.0
1,55,76.0366977,88.4320464,0.0
1,56,76.6113644,88.1146913,0.0
1,57,76.4726325,87.6200633,0.0
1,58,76.2569412,87.82649,0.0
1,59,76.2182613,88.1643579,0.0
1,60,76.6025758,87.5490002,0.0
1,61,76.7210658,87.752937,0.0
1,62,76.59601,87.7318013,0.0
1,63,77.1365434,87.9196187,0.0
1,64,77.1609871,88.240203,0.0
1,65,77.1670593,88.3084073,0.0
1,66,77.1485316,87.9921556,0.0
1,67,77.0512854,88.1756312,0.0
1,68,77.0695276,88.2100826,0.0
1,69,77.1364219,88.213084,0.0
