traj_idx,frame,x,y,z
0,0,16.177856,10.491694,0.0
0,1,15.2837633,11.5579519,0.0
0,2,14.2883856,11.9148344,0.0
0,3,10.7681096,12.1815147,0.0
0,4,11.206674,11.7871574,0.0
0,5,11.2631963,11.164485,0.0
0,6,12.7597501,11.025416,0.0
0,7,13.3694375,9.3991467,0.0
0,8,14.6975739,8.5055581,0.0
0,9,15.9359386,9.4052983,0.0
0,10,16.7309199,12.985061,0.0
0,11,16.24437,12.8643023,0.0
0,12,15.8059786,10.0304973,0.0
0,15,10.6848725,15.0517921,0.0
0,16,11.0800145,15.9469836,0.0
0,17,10.9342251,17.3786263,0.0
0,18,6.6242257,16.7241703,0.0
0,19,8.4181256,13.4033171,0.0
0,20,12.2425975,11.6857886,0.0
0,21,11.0033935,11.605062,0.0
0,22,11.4606347,12.1839887,0.0
0,23,15.5532823,10.5549446,0.0
0,24,16.9205221,10.0921687,0.0
0,25,17.2589478,10.9402587,0.0
0,26,20.759008,13.0254978,0.0
0,27,21.8413778,12.8744891,0.0
0,28,21.7793544,11.1593276,0.0
0,31,21.2882679,17.5818374,0.0
0,32,23.0108019,18.1027666,0.0
0,33,19.2636585,15.3193979,0.0
0,34,21.3104607,12.1891504,0.0
0,35,21.3146216,7.7285673,0.0
0,36,26.1383725,9.3369936,0.0
0,37,24.3678193,9.1826513,0.0
0,38,22.1755589,11.755542,0.0
0,39,22.3109649,10.3221572,0.0
0,40,19.244081,8.1951749,0.0
0,41,20.2870696,8.0562714,0.0
0,42,17.5157263,10.1829119,0.0
0,43,17.3823694,10.2239542,0.0
0,44,16.9815046,10.9268305,0.0
0,45,17.0778719,10.6439277,0.0
0,46,16.0598524,11.2147518,0.0
0,47,17.590962,7.883481,0.0
1,0,15.7756789,5.4257181,0.0
1,1,16.7117007,4.9056571,0.0
1,2,20.1549911,4.6912403,0.0
1,3,21.7384111,6.903962,0.0
1,4,18.7387069,9.8867497,0.0
1,5,15.6455874,9.939935,0.0
1,8,10.3178289,7.6212245,0.0
1,9,9.467828,9.6711252,0.0
1,10,10.0089935,10.0182985,0.0
1,11,10.470289,9.2968867,0.0
1,12,11.1302002,11.7881536,0.0
1,13,12.1038182,12.3150323,0.0
1,14,13.9605631,11.9346745,0.0
1,15,14.491453,13.1064829,0.0
1,16,17.9563171,15.9703176,0.0
1,17,17.6816969,17.7568858,0.0
1,18,16.8902899,17.8670377,0.0
1,19,17.8108158,19.1659678,0.0
1,20,19.1797727,22.4171476,0.0
1,21,18.2272157,21.21889,0.0
1,22,20.3218424,21.2915963,0.0
1,23,18.4752639,23.8159666,0.0
1,24,18.9623103,20.613741,0.0
1,25,17.8335312,16.536229,0.0
1,26,18.157387,19.7596402,0.0
1,27,16.8248636,21.3269237,0.0
1,28,17.2222435,21.397963,0.0
1,29,16.2619723,17.8718183,0.0
1,30,16.2871497,18.1445238,0.0
1,31,14.290313,17.5351164,0.0
1,32,11.0460044,14.824604,0.0
1,33,11.6835881,15.3876984,0.0
1,34,7.9222575,16.9757539,0.0
1,35,8.1213546,16.2137233,0.0
1,36,8.1508405,16.6146753,0.0
1,37,5.9304871,13.7899062,0.0
1,38,5.4762632,15.0670939,0.0
1,39,4.1515782,14.2895615,0.0
1,40,5.4518006,11.8052418,0.0
1,41,3.8986911,9.7478514,0.0
1,42,2.7581551,6.7583354,0.0
1,43,3.4763519,6.552372,0.0
1,44,3.7667834,4.0809977,0.0
1,45,1.9521908,4.0884726,0.0
1,46,2.6298757,2.7859133,0.0
1,47,0.7389427,3.0199429,0.0
1,48,3.0810919,2.6747494,0.0
1,49,3.3407926,2.5529176,0.0
3,21,1.0247056,12.9290739,0.0
3,22,1.9170143,15.0606144,0.0
3,23,0.9731653,14.1500549,0.0
3,24,1.3848265,13.8802799,0.0
3,25,0.3711894,14.789615,0.0
