traj_idx,frame,x,y,z
0,0,93.2570603,155.0462801,0.0
0,1,89.8163042,154.8811844,0.0
0,2,88.6529402,152.9893266,0.0
0,3,85.0313296,157.1870628,0.0
0,4,82.9940632,156.7712796,0.0
0,5,80.6700178,156.8833509,0.0
0,6,73.2622639,157.2511785,0.0
0,7,74.7983148,158.9191396,0.0
0,8,76.8306274,157.9427806,0.0
0,9,75.0713235,161.707701,0.0
0,10,80.2281603,159.2279704,0.0
0,11,74.8175426,162.7892735,0.0
0,12,81.8062179,156.0588466,0.0
0,14,75.9885323,165.1062316,0.0
0,15,75.2939158,163.8155159,0.0
0,16,79.0528944,156.1862916,0.0
0,19,77.7186691,157.7122884,0.0
0,20,77.0631743,155.7047416,0.0
0,23,79.6428217,161.3485631,0.0
0,25,77.8937466,161.2558024,0.0
0,27,82.1204266,164.8699613,0.0
0,28,85.8099917,164.9431804,0.0
1,0,75.9211592,157.8317224,0.0
1,1,77.2170039,155.7551768,0.0
1,2,80.9043728,155.2387391,0.0
1,3,80.0806689,152.9309086,0.0
1,4,80.1921633,155.1033677,0.0
1,5,76.0729127,154.8736123,0.0
1,6,76.9899194,157.0039824,0.0
1,8,74.3006936,160.8480524,0.0
1,9,77.6549847,157.1112538,0.0
1,10,74.1697694,165.1005781,0.0
1,12,73.7958549,162.8138105,0.0
1,13,81.2157153,157.2423796,0.0
1,14,83.1764703,156.2567131,0.0
1,15,81.0451889,153.1238399,0.0
1,17,77.2756128,156.2770159,0.0
1,18,77.0044044,157.305773,0.0
1,21,79.8403411,156.1355041,0.0
1,22,78.0514141,157.2097517,0.0
1,24,78.8475258,161.2542064,0.0
1,26,81.9481076,163.1550949,0.0
1,29,86.0705923,166.2265871,0.0
1,30,80.2899931,170.7265574,0.0
1,31,76.2520709,172.1520758,0.0
1,32,77.7049675,175.8996742,0.0
1,33,76.9703069,172.1038656,0.0
1,34,76.3425869,170.9686154,0.0
1,35,76.3111279,171.069974,0.0
1,36,73.9035455,169.9475566,0.0
1,37,73.7561542,170.9256407,0.0
1,38,77.257196,168.3478058,0.0
1,39,75.3797448,170.7006931,0.0
1,40,75.1993385,170.1821233,0.0
1,41,72.7697652,173.7987735,0.0
1,42,72.1390553,174.7111815,0.0
1,43,70.7619561,175.3016189,0.0
2,0,150.9639965,116.1967806,0.0
2,1,152.0631476,115.1193157,0.0
2,2,151.7807523,115.7235938,0.0
2,3,150.7314395,113.7851747,0.0
2,4,146.712656,114.2374098,0.0
2,5,144.891572,112.9962528,0.0
2,6,146.137478,113.9272017,0.0
2,7,141.2410409,120.9417289,0.0
2,8,143.9001524,115.4490261,0.0
2,9,141.9985958,120.9500542,0.0
2,10,147.9076651,118.7650441,0.0
2,11,146.8116398,119.7022771,0.0
2,12,150.9509832,116.279343,0.0
2,13,144.6363918,119.0499114,0.0
2,14,141.2080409,121.2018257,0.0
2,16,141.9054264,124.2107875,0.0
2,18,144.8400185,122.9147204,0.0
2,20,148.0266347,125.8955501,0.0
3,0,79.8987584,50.2568911,0.0
3,1,81.2053532,51.7626984,0.0
3,2,83.8554108,49.2181094,0.0
3,3,85.265149,48.0639765,0.0
3,4,86.7435787,48.8359694,0.0
3,5,84.113466,49.8549621,0.0
3,6,84.8505358,45.6971352,0.0
3,7,84.8217121,44.9850316,0.0
3,8,83.8048534,38.8118515,0.0
3,9,85.1246547,42.9870011,0.0
3,10,83.9427779,40.1184619,0.0
3,11,81.2162921,42.9456202,0.0
3,12,83.911348,38.9821819,0.0
3,13,82.1757885,43.6195341,0.0
3,14,85.2051193,40.3017918,0.0
3,16,83.9042849,44.8758292,0.0
3,17,83.8147947,37.102868,0.0
3,18,81.6932804,46.0742745,0.0
3,19,85.0664534,36.8283218,0.0
3,20,82.9836359,39.899729,0.0
3,21,76.1503074,46.1759264,0.0
3,22,76.9927102,47.1751446,0.0
3,23,78.7607228,47.1051113,0.0
3,24,78.0000862,45.8567338,0.0
4,0,153.0673016,17.9254174,0.0
4,1,154.8793552,16.9510498,0.0
4,2,154.0571383,15.7194748,0.0
4,3,155.1480708,18.7561429,0.0
4,4,157.0199771,18.1686751,0.0
4,5,155.0909513,17.985514,0.0
4,6,153.1491898,18.7401153,0.0
5,0,2.7144311,180.1770665,0.0
5,1,3.8869217,186.0294764,0.0
5,2,4.9416101,185.8923565,0.0
5,3,5.8221678,186.9715665,0.0
5,4,6.0028741,189.2259915,0.0
5,6,5.9289202,192.03089,0.0
5,7,2.0265319,187.1113953,0.0
5,8,5.8568144,185.0287666,0.0
5,9,1.1850764,187.9023332,0.0
5,10,4.0190963,190.0906392,0.0
6,0,49.9117684,13.0033234,0.0
6,1,54.7732153,12.8844208,0.0
6,2,53.9653018,13.2135771,0.0
6,3,52.0736459,11.8987079,0.0
6,4,52.2768641,10.0470468,0.0
7,0,94.0195944,180.2904846,0.0
7,1,93.9386121,181.1356756,0.0
7,2,94.0023193,178.22274,0.0
7,3,94.5704669,179.2211359,0.0
7,4,96.9460998,179.1638879,0.0
7,5,97.2308259,177.7518935,0.0
7,6,95.7475935,177.1045545,0.0
7,7,91.9344578,178.3363016,0.0
7,8,92.014192,180.1697101,0.0
8,0,17.6853552,41.8455577,0.0
8,1,14.7729729,44.986335,0.0
8,2,13.2082356,46.608263,0.0
8,3,12.202833,47.966006,0.0
8,4,12.0586889,46.8846086,0.0
8,5,15.0527795,48.9105301,0.0
8,6,14.1554102,49.6770251,0.0
8,7,11.9183428,50.0998611,0.0
8,8,9.2434326,50.907042,0.0
8,9,8.8284668,54.2188734,0.0
8,10,9.0177106,52.7104621,0.0
8,11,9.3457547,54.1281256,0.0
8,12,10.0842064,55.8880369,0.0
8,13,12.6595569,55.1865464,0.0
8,14,11.8514867,56.186727,0.0
8,15,13.0669961,54.0175438,0.0
8,16,13.9649106,55.2531305,0.0
8,17,12.7781915,55.1410012,0.0
9,0,108.8508603,92.1368525,0.0
9,1,110.4210651,92.2222975,0.0
9,2,111.2886759,92.1048743,0.0
9,3,112.0686835,89.8353148,0.0
9,4,112.7429533,90.1788876,0.0
9,5,112.8875677,88.2894649,0.0
9,6,113.8031669,90.8356456,0.0
9,7,116.0634218,92.7951408,0.0
9,8,118.111394,91.2862061,0.0
10,0,103.8322474,52.2477127,0.0
10,1,103.2551583,58.6671533,0.0
10,2,102.2051537,58.9044691,0.0
10,3,98.8268298,59.0951671,0.0
10,4,99.1216581,58.8201908,0.0
10,5,99.1624365,58.2004082,0.0
