2,2.60375360,1.50285,2,12
3,0.35624483,1.28216,2,7,0.00730477,0.23725,2,221
4,0.95968626,nan,nan,3
5,0.54102841,nan,nan,2
6,0.60061404,1.32311,2,5
7,0.16802551,nan,nan,2
8,0.31267964,nan,nan,2
9,0.11958471,nan,nan,3
10,1.34287348,0.70029,2,5
11,0.89965101,0.83938,2,5
12,2.15994106,1.12949,2,7
13,0.39422779,1.20548,2,8
15,0.08432875,nan,nan,2
16,0.48869261,0.97975,2,8
17,1.01388195,nan,nan,3
18,0.91102325,nan,nan,2
19,0.83472352,1.08561,2,13
20,0.34452368,nan,nan,4
21,0.01110006,nan,nan,3
23,2.26778266,0.89325,2,8
25,1.57350233,nan,nan,2
29,0.43945319,nan,nan,3
31,0.00311871,nan,nan,2
33,1.06569285,nan,nan,4
34,0.20740217,0.88386,2,8
37,0.02432887,nan,nan,2
38,2.36918487,0.91697,2,10
39,0.11546305,nan,nan,4
40,0.83055002,nan,nan,2
41,1.62247529,nan,nan,2
43,0.28977290,nan,nan,4
45,0.18621906,nan,nan,2
46,0.55052364,nan,nan,2
48,10.74952112,nan,nan,2
50,3.38510349,nan,nan,2
51,0.48121907,0.45836,2,8
52,0.49579750,0.96339,2,23
53,0.45874479,0.68451,2,9
54,1.90739574,0.85625,2,7
55,1.62670497,1.2886,2,5
56,3.33629792,0.92718,2,5
57,2.73174883,1.30142,2,6
58,0.00614550,0.54362,2,10
59,1.75701701,0.71342,2,5
60,1.13560860,nan,nan,4
62,7.04648275,nan,nan,2
63,1.90116171,0.71483,2,5
65,1.95270844,0.61805,2,5
67,3.22032012,nan,nan,3
68,0.37765866,nan,nan,4
69,0.11173937,nan,nan,3
70,0.23704844,0.67517,2,14
71,5.11840490,nan,nan,2
72,0.59490633,1.40254,2,8,0.09429408,0.38923,2,25,0.24413815,0.83088,2,30
74,4.18808777,nan,nan,2
75,0.01666745,nan,nan,4
76,0.06545803,0.9259,2,10
78,2.46441356,1.06465,2,10
82,0.23145556,nan,nan,3
83,0.37623045,nan,nan,2
84,0.21493324,nan,nan,2
85,0.19352944,0.93055,2,12
86,0.61633556,nan,nan,4
87,2.03777043,1.1951,2,6
88,0.99538433,0.57908,2,10
89,1.77553629,1.36419,2,10
91,0.00564807,nan,nan,2
92,1.53205523,0.694,2,9
93,0.38558775,0.63305,2,6
94,0.10929261,1.13989,2,5
95,2.30357338,nan,nan,2
96,0.28925080,1.06378,2,17
97,0.27463695,0.85508,2,11
98,0.86498402,0.82007,2,21
99,0.56991658,nan,nan,3
100,0.48358454,nan,nan,2
101,2.34906561,0.79379,2,8
102,2.14391270,nan,nan,4
103,6.06602267,nan,nan,3
104,1.95019998,nan,nan,2
105,2.41801042,nan,nan,4
106,0.93723060,1.04379,2,8
108,0.54156285,nan,nan,2
109,0.59096698,0.87363,2,19
111,0.48348490,nan,nan,2
112,0.86986210,0.96293,2,6
114,0.22659222,0.4188,2,15
115,0.47453861,0.62339,2,6
116,0.37847435,1.15045,2,12
118,2.64871702,0.60346,2,8
119,0.23335681,nan,nan,2
121,0.25886367,nan,nan,2
122,0.70678293,1.03512,2,6
123,1.70079146,1.25621,2,14
124,2.01977479,nan,nan,3
125,1.01366548,nan,nan,3
127,0.40822270,1.30359,2,7
128,2.10589092,1.17109,2,6
130,0.49652544,nan,nan,4
131,0.31326901,1.04851,2,10
132,0.03220462,0.7469,2,11
135,12.03450861,nan,nan,2
137,0.30032992,1.02203,2,6
138,0.10539824,nan,nan,3
140,0.68507383,1.06643,2,8
142,0.99070582,nan,nan,4
145,1.02509284,nan,nan,2
147,0.69954966,nan,nan,3
148,0.34938247,nan,nan,4
149,2.85480148,0.69082,2,6
150,1.21477487,nan,nan,4
152,1.01067985,nan,nan,2
153,0.21532545,nan,nan,2
154,0.09837948,nan,nan,2
155,2.74856409,0.90979,2,8
156,0.56019751,0.92304,2,6
157,0.37177955,nan,nan,3
158,1.68256551,nan,nan,4
159,1.39983662,1.14587,2,8
160,1.12042338,0.92296,2,9
162,2.00722103,nan,nan,3
165,0.94680886,1.38607,2,8
166,0.46093643,1.52112,2,5
